id,prod_name,brand,category,description,specs,img_links,url,created_at,updated_at,retailer,price,sku,dimension
1,La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante,l'oreal,Beleza›Pele›Rosto›Hidratantes›Hidratantes Faciais,,"{""Dimensões do produto"": ""6 x 3 x 7 cm; 30 g"", ""Fabricante"": ""L'oreal"", ""ASIN"": ""B0C3S51L34"", ""País de origem"": ""Brasil"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/31yRUKG1lnL._AC_SX466_.jpg,https://www.amazon.com.br/Roche-Posay-Cicaplast-Cuidado-Multirreparador-Calmante/dp/B0C3S51L34/ref=sr_1_1?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-1,45:51.2,45:51.2,amazon_br,2990,B0C3S51L34,
2,Óleo Wella Professionals Ultimate Luxe Oil 30ml,wella professionals,Beleza›Cuidados com o Cabelo›Óleos Capilares,,"{""Faixa etária (descrição)"": ""Adulto"", ""Forma do produto"": ""Líquido"", ""Marca"": ""Wella Professionals"", ""Tipo de cabelo"": ""Todos"", ""Vantagens do produto"": ""(function(f) {var _np=(window.P._namespace(\""DetailPageProductOverviewTemplatesJava\""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) {  P.when('A').execute(function(A){  A.on('a:truncate:po-attribute-truncate-3:updated', function(data) {  var isTruncated = !data.truncateInstance.getIfTextFits();  var seeMoreElement = document.getElementById('po-attribute-see-more-id-3');  if(seeMoreElement) {  seeMoreElement.style.display = isTruncated ? '' : 'none';  }  })  }); })); A linha Ultimate Luxe Oil oferece uma experiência completa de cuidados capilares, com cada produto formulado para proporcionar benefícios excepcionais. Desde o shampoo até a máscara capilar, cada produto da linha trabalha em conjunto para deixar seus cabelos deslumbrantes, macios e saudáveis.A linha Ultimate Luxe Oil oferece uma experiência… Ver mais"", ""Dimensões da embalagem"": ""11,4 x 3,5 x 3,4 cm; 50 g"", ""Fabricante"": ""Wella Company"", ""ASIN"": ""B0CYLYGM4V"", ""País de origem"": ""Alemanha"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/413YGp-iE1L._AC_SX425_.jpg,https://www.amazon.com.br/%C3%93leo-Wella-Professionals-Ultimate-Luxe/dp/B0CYLYGM4V/ref=sr_1_2?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-2,45:51.2,45:51.2,amazon_br,5976,B0CYLYGM4V,30ml
3,Máscara Wella Invigo Nutri-Enrich 150ml,wella,Beleza›Cuidados com o Cabelo›Máscaras para Cabelo,"[""máscara nutritiva cabelos danificados Ressecados""]","{""ASIN"": ""B07NVXTGYL"", ""Dimensões do produto"": ""7,5 x 7,5 x 5,9 cm; 200 g"", ""EAN"": ""8005610672519"", ""Fabricante"": ""Wella"", ""Funciona a bateria ou pilha?"": ""Não"", ""Marca"": ""Wella"", ""Número de unidades"": ""1"", ""Referência do fabricante"": ""4"", ""Tamanho"": ""150 ml (Pacote de 1)"", ""Tipo de Cabelo"": ""Danificado"", ""Avaliações de clientes"": ""4,7 4,7 de 5"", ""Dimensões do pacote"": ""7.5 x 7.5 x 5.9 centímetros"", ""Disponível para compra desde"": ""18 fevereiro 2019"", ""Ranking dos mais vendidos"": ""Nº 172 em Beleza (Conheça o Top 100 na categoria Beleza) Nº 12 em Máscaras para Tratamento do Cabelo"", ""Característica do material"": ""Sem crueldade"", ""Forma do produto"": ""Líquido"", ""Tipo de cabelo"": ""Danificado"", ""Vantagens do produto"": ""Hidrata e nutre profundamente cabelos secos e danificados"", ""Brand"": ""Wella"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/51tsgRRXk-L._AC_SY450_.jpg,https://www.amazon.com.br/Wella-Professionals-Invigo-Nutri-Booster/dp/B07NVXTGYL/ref=sr_1_3?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-3&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,45:51.2,45:51.2,amazon_br,7875,B07NVXTGYL,150ml
4,Melano CC® Sérum Essence - Sérum de Vitamina C Pura para Ação Antioxidante Que Clareia A Pele E Controla A Oleosidade 20G,メラノcc,Beleza›Pele›Rosto›Tratamentos›Sérum ou Soros Finalizadores,"[""Sérum concentrado com Vit. C pura e Ascorbyl Tetraisopalmitate que é um derivado da Vitamina C. Contém Vitamina e que auxilia no poder antioxidante e Dipotassium Glycyrrhizate que tem ação anti-inflamatória. Clareia a pele, controla a oleosidade e diminui os poros dilatados. Por ter ação anti-inflamatória pode ser usado sobre espinhas. Deixa o tom da pele uniforme.""]","{""ASIN"": ""B08GB65ZB7"", ""Dimensões do produto"": ""3 x 5 x 15 cm; 0,02 g"", ""EAN"": ""7898953272895"", ""Fabricante"": ""Rohto Pharmaceutical-Japão"", ""Funciona a bateria ou pilha?"": ""Não"", ""Marca"": ""メラノCC"", ""Número de unidades"": ""1"", ""Referência do fabricante"": ""CCTS-2"", ""Tamanho"": ""20ml (Pacote de 1)"", ""Avaliações de clientes"": ""4,7 4,7 de 5"", ""Dimensões do pacote"": ""14.2 x 4.2 x 2.8 centímetros"", ""Disponível para compra desde"": ""8 agosto 2020"", ""Ranking dos mais vendidos"": ""Nº 136 em Beleza (Conheça o Top 100 na categoria Beleza) Nº 6 em Sérum ou Soros Faciais"", ""Forma do produto"": ""Sérum"", ""Ingredientes ativos"": ""Vitamina C, Vitamina E"", ""Peso do produto"": ""20 Miligramas"", ""Vantagens do produto"": ""(function(f) {var _np=(window.P._namespace(\""DetailPageProductOverviewTemplatesJava\""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) {  P.when('A').execute(function(A){  A.on('a:truncate:po-attribute-truncate-0:updated', function(data) {  var isTruncated = !data.truncateInstance.getIfTextFits();  var seeMoreElement = document.getElementById('po-attribute-see-more-id-0');  if(seeMoreElement) {  seeMoreElement.style.display = isTruncated ? '' : 'none';  }  })  }); })); Clareia a pele, controla a oleosidade e diminui os poros dilatados. Por ter ação anti-inflamatória pode ser usado sobre espinhas. Deixa o tom da pele uniforme.Clareia a pele, controla a oleosidade e diminui os poros dilatados. Por ter ação anti-inflamatória pode ser usa… Ver mais"", ""Brand"": ""Visite a loja メラノCC"", ""País de origem"": ""Japão"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/61V4Ff80ipL._AC_SX425_.jpg,https://www.amazon.com.br/Melano-S%C3%A9rum-Cc-Essence/dp/B08GB65ZB7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-4,45:51.2,45:51.2,amazon_br,5490,B08GB65ZB7,20g
5,"CeraVe, Loção Hidratante Corporal, com textura Fluida e Ácido Hialurônico",cerave,Beleza›Pele›Corpo›Hidratantes›Loções Corporais,,"{""Dimensões do item C x L x A"": ""5,2 x 9 x 21,7 centímetros"", ""Faixa etária (descrição)"": ""Adulto"", ""Ingredientes ativos"": ""3 ceramidas essenciais e ácido hialurônico"", ""Marca"": ""CeraVe"", ""Volume do produto"": ""562 Mililitros"", ""Dimensões do produto"": ""5,15 x 8,95 x 21,7 cm; 571,53 g"", ""Fabricante"": ""L'Oréal"", ""ASIN"": ""B07RK4HST7"", ""Número do modelo"": ""B07RK4HST7"", ""País de origem"": ""Brasil"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/61vyW3Dl-7L._AC_SX466_.jpg,https://www.amazon.com.br/CeraVe-Hidratante-Hialur%C3%B4nico-Essenciais-Restaura%C3%A7%C3%A3o/dp/B07RK4HST7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-5,45:51.2,45:51.2,amazon_br,7379,B07RK4HST7,
6,Bauny - Corretivo Líquido Cor 070-080 5ml,bauny cosméticos,Beleza›Maquiagem›Rosto›Corretivos e Neutralizadores,"[""O Bauny Corretivo Líquido 5ml é um produto essencial para quem deseja uma maquiagem impecável e duradoura, oferecendo uma cobertura eficaz e um acabamento natural. Ideal para esconder olheiras, manchas, acne e outras imperfeições, proporcionando um tom de pele mais uniforme.""]","{""ASIN"": ""B0CYJ82NG7"", ""Dimensões da embalagem"": ""10,2 x 2 x 2 cm; 20 g"", ""EAN"": ""7898713920554"", ""Fabricante"": ""RENOVATEC"", ""Funciona a bateria ou pilha?"": ""Não"", ""Marca"": ""Bauny Cosméticos"", ""Número de unidades"": ""1"", ""Tipo de Pele"": ""Todos os tipos"", ""Avaliações de clientes"": ""4,7 4,7 de 5"", ""Dimensões do pacote"": ""10.2 x 2 x 2 centímetros"", ""Disponível para compra desde"": ""19 março 2024"", ""Ranking dos mais vendidos"": ""Nº 24.132 em Beleza (Conheça o Top 100 na categoria Beleza) Nº 161 em Corretivos e Neutralizadores"", ""Adequação do controle por rádio"": ""(function(f) {var _np=(window.P._namespace(\""DetailPageProductOverviewTemplatesJava\""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) {  P.when('A').execute(function(A){  A.on('a:truncate:po-attribute-truncate-3:updated', function(data) {  var isTruncated = !data.truncateInstance.getIfTextFits();  var seeMoreElement = document.getElementById('po-attribute-see-more-id-3');  if(seeMoreElement) {  seeMoreElement.style.display = isTruncated ? '' : 'none';  }  })  }); })); Corrige imperfeições com alta cobertura e textura cremosa; aplicar com pincel, esponja ou dedos nas áreas desejadas, como olheiras e manchas, dando leves batidinhas até total absorção e acabamento uniforme.Corrige imperfeições com alta cobertura e textura cremosa; aplicar com pincel, esponja ou dedos nas á… Ver mais"", ""Cor"": ""Médio"", ""Forma do produto"": ""Líquido"", ""Tipo de material livre"": ""Sem álcool"", ""Tipo de pele"": ""Todos os tipos"", ""Brand"": ""Visite a loja Bauny Cosméticos"", ""País de origem"": ""Brasil"", ""search_term"": ""Maquiagem""}",https://m.media-amazon.com/images/I/51YcbvabcqL._AC_SY679_.jpg,https://www.amazon.com.br/Corretivo-L%C3%ADquido-Cor-070-080-Bauny/dp/B0CYJ82NG7,45:51.2,45:51.2,amazon_br,4494,B0CYJ82NG7,5ml
7,"NIVEA Hidratante Labial Morango Shine 4,8g - Cuidado intensivo para seus lábios, hidratação prolongada, delicioso aroma de morango, pigmentos brilhantes e cor delicada",nivea,Beleza›Pele›Lábios›Aumentadores de Lábios,"[""O que é? Hidratante labial que oferece cuidado e proteção por 24h. Item indispensável para manter os lábios sempre macios a qualquer hora do dia. Conheça! Para que serve o Hidratante Labial Nivea Morango Shine? Com óleos naturais na composição, deixa os lábios hidratados. Tem um delicioso cheiro de morango e pigmentos brilhantes que dão mais vida ao seu sorriso. Benefícios e diferenciais - Livre de óleos minerais - Aplicação uniforme sem precisar de espelho - Embalagem reciclável - Com óleos de abacate e de jojoba Como usar o Hidratante Labial Nivea Morango Shine? Deslize o produto sobre os lábios. Reaplique sempre que necessário. Uma unidade de embalagem contém 4,8g""]","{""ASIN"": ""B079VRBQ23"", ""Departamento"": ""Mulheres"", ""Dimensões do produto"": ""7,5 x 2,1 x 12 cm; 20 g"", ""EAN"": ""4005808850839"", ""Fabricante"": ""Nivea"", ""Funciona a bateria ou pilha?"": ""Não"", ""Marca"": ""NIVEA"", ""Modelo"": ""8360"", ""Número de unidades"": ""1"", ""Número do modelo"": ""8360"", ""Tamanho"": ""4.8 g (Pacote de 1)"", ""Tipo de Pele"": ""Todos os tipos de pele"", ""Avaliações de clientes"": ""4,8 4,8 de 5"", ""Dimensões do pacote"": ""12 x 7.5 x 2 centímetros"", ""Disponível para compra desde"": ""16 fevereiro 2018"", ""Ranking dos mais vendidos"": ""Nº 3 em Beleza (Conheça o Top 100 na categoria Beleza) Nº 2 em Tratamentos para Aumentar Lábios"", ""Cor"": ""Morango"", ""Forma do produto"": ""Bálsamo"", ""Tipo de pele"": ""Todos os tipos de pele"", ""Vantagens do produto"": ""Hidratante prolongada"", ""Brand"": ""Visite a loja NIVEA"", ""País de origem"": ""México"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/71scTQZ0VzL._AC_SY450_.jpg,https://www.amazon.com.br/Protetor-Labial-Care-Morango-Nivea/dp/B079VRBQ23/ref=sr_1_6?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-6,45:51.2,45:51.2,amazon_br,1099,B079VRBQ23,
8,Wella Professionals Oil Reflections Óleo Capilar 100 ml,wella,Beleza›Cuidados com o Cabelo›Óleos Capilares,,"{""Aroma"": ""Romã, Pêssego e Flor de Baunilha"", ""Tipo de cabelo"": ""Todos os tipos de cabelos"", ""Tipo de material livre"": ""Sem álcool"", ""Vantagens do produto"": ""(function(f) {var _np=(window.P._namespace(\""DetailPageProductOverviewTemplatesJava\""));if(_np.guardFatal){_np.guardFatal(f)(_np);}else{f(_np);}}(function(P) {  P.when('A').execute(function(A){  A.on('a:truncate:po-attribute-truncate-0:updated', function(data) {  var isTruncated = !data.truncateInstance.getIfTextFits();  var seeMoreElement = document.getElementById('po-attribute-see-more-id-0');  if(seeMoreElement) {  seeMoreElement.style.display = isTruncated ? '' : 'none';  }  })  }); })); Como resultado da utilização desse produto temos o seu cabelo protegido, luminoso e macio., Não aplicávelComo resultado da utilização desse produto temos o… Ver mais"", ""Volume líquido"": ""100 Mililitros"", ""Pilha(s) ou bateria(s)"": ""1 A (necessita de baterias)"", ""Dimensões do produto"": ""14 x 5 x 14 cm; 120 g"", ""Fabricante"": ""Wella"", ""ASIN"": ""B07Y1T5YZ2"", ""Número do modelo"": ""992600"", ""País de origem"": ""França"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/6121ZJLUSBL._AC_SX679_.jpg,https://www.amazon.com.br/Wella-%C3%93leo-de-brilho-100ml/dp/B07Y1T5YZ2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-7&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,45:51.2,45:51.2,amazon_br,11532,B07Y1T5YZ2,100ml
9,"Hidratante Corporal Ureadin, Isdin",isdin,Beleza›Pele›Corpo›Hidratantes›Loções Corporais,,"{""member_price"": ""R$55,24"", ""Características especiais"": ""Hipoalergênico, Ingredientes naturais, Não testado em animais, Orgânico"", ""Dimensões do item C x L x A"": ""6,7 x 6,7 x 19,5 centímetros"", ""Faixa etária (descrição)"": ""Adulto"", ""Marca"": ""ISDIN"", ""Volume do produto"": ""400 Mililitros"", ""Dimensões do produto"": ""6,7 x 6,7 x 19,5 cm; 410 g"", ""Fabricante"": ""ISDIN PRODUTOS FARMACÊUTICOS LTDA"", ""ASIN"": ""B07V52M71L"", ""Referência do fabricante"": ""11661"", ""País de origem"": ""Brasil"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/51Tf0UwLW+L._AC_SX466_.jpg,https://www.amazon.com.br/Hidratante-Corporal-Ureadin-400ml-ISDIN/dp/B07V52M71L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-8,45:51.2,45:51.2,amazon_br,5815,B07V52M71L,
10,La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante,la roche-posay,Beleza›Pele›Rosto›Hidratantes›Hidratantes Faciais,,"{""Características especiais"": ""Tamanho para viagem"", ""Dimensões do item C x L x A"": ""10 x 4 x 10 centímetros"", ""Faixa etária (descrição)"": ""Adulto"", ""Marca"": ""La Roche-Posay"", ""Volume do produto"": ""1,35 Onças líquidas"", ""Dimensões do produto"": ""10 x 4 x 10 cm; 60 g"", ""Fabricante"": ""L'oreal"", ""ASIN"": ""B072MK7BN2"", ""Referência do fabricante"": ""HU-XI-91"", ""País de origem"": ""Brasil"", ""search_term"": ""Beleza De Luxo""}",https://m.media-amazon.com/images/I/41LpbF-1WDL._AC_SX466_.jpg,https://www.amazon.com.br/Roche-Posay-Cicaplast-Cuidado-Multirreparador-Calmante/dp/B072MK7BN2/ref=sr_1_9?dib=eyJ2IjoiMSJ9.dnnAg4MejDYg14QcN0JgVOyW1dyuv_pS6NA2BxH3thJuk56ynYMXLbCoO-VoR0XlWUJnHMhG7IeQx76_Wne-ufBBjcVQWwncYjcCmty5yNB3RXtD-kwcCorHClnE0OxBwPQKJhIgJFByy4xrpRNaoQEKrVMCM7L4Y8E_mwxTdL_ZQ_1B7bEc0T9uPZtIu42oqGKRXcCx0cn0vo-tpHIv3BmnpLLQJw92wtPx_mzq-GzWI1SYC1leaW6mJgmEj_HF_749FJhDGDVMtezxrPqMW0_vGt-Mhex58m3zkuSPVWA.q6i90OM5wT6ZB0awCDMow_BN-I_kH_u6eYJk09yscrQ&dib_tag=se&keywords=beleza+de+luxo&qid=1764189745&sr=8-9,45:51.2,45:51.2,amazon_br,4990,B072MK7BN2,
