product_a_id,product_b_id,score,decision,name_a,name_b,brand_a,brand_b,retailer_a,retailer_b,price_a,price_b,dimension_a,dimension_b,explanation
7,1934,0.84,review,"NIVEA Hidratante Labial Morango Shine 4,8g - Cuidado intensivo para seus lábios, hidratação prolongada, delicioso aroma de morango, pigmentos brilhantes e cor delicada","NIVEA Hidratante Labial Amora Shine 4,8 g - Cuidado intensivo para seus lábios, hidratação prolongada, delicioso aroma de amora, pigmentos brilhantes e cor delicada",nivea,nivea,amazon_br,amazon_br,1099,1900,,,brand_match:nivea; title_high:0.98; size_ambiguous; shade_match:delicada; pack_match:5; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
3518,4039,0.84,review,Base liquida matte Timewise® 3D Mary kay - 30ml (Beige W180),Base liquida matte Timewise® 3D Mary kay - 30ml (Beige N190),mary kay,mary kay,amazon_br,amazon_br,7484,7000,30ml,30ml,brand_match:mary kay; title_high:0.96; model_match:3d; size_ambiguous; shade_match:beige; pack_match:2; category_exact; price_close; penalty:conflicting_global_identifier
31,1820,0.84,review,"Maybelline NY The Colossal Volum' Express, Máscara de Cílios Lavável, 9x mais Volume por até 24h, Fórmula com Colágeno para Definição Intensa, Não Empelota, Cor Preto, 8ml","Maybelline NY The Colossal Volum' Express, Máscara de Cílios À Prova d'Água, 9x mais Volume por até 24h, Fórmula de Colágeno e Definição Intensa, Não Empelota, Cor Preto, 8ml",maybelline,maybelline,amazon_br,amazon_br,3301,3932,8ml,8ml,brand_match:maybelline; title_high:0.95; model_match:9x; size_ambiguous; color_match:preto; shade_match:preto; pack_match:9; category_exact; penalty:conflicting_global_identifier
3476,3964,0.84,review,Payot Batom Hidratante Payot Vermelho Bordo,Payot Batom Hidratante Payot Vermelho,payot,payot,amazon_br,amazon_br,4590,4499,,,brand_match:payot; title_high:1.00; size_match:6g; shade_match:vermelho; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2287,2963,0.84,review,Corretivo Líquido Cover Up MMC05 - MM 1800-5 - Mari Maria,Corretivo Líquido Cover Up MMC06 - MM 1800-6 - Mari Maria,mari maria makeup,mari maria makeup,amazon_br,amazon_br,4380,6190,,,brand_match:mari maria makeup; title_high:0.96; size_match:40g; shade_match:retivo; pack_match:4; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
88,138,0.84,review,Hbl6000 1 Batom Satin Lip Luxe Ll10 Ruby Rose,Hbl6000 2 Batom Satin Lip Luxe Ll20 Ruby Rose,ruby rose,ruby rose,amazon_br,amazon_br,1232,,,,brand_match:ruby rose; title_high:0.96; model_match:hbl6000; size_match:20g; color_match:rose; shade_match:intensa; pack_match:4; category_exact; penalty:conflicting_global_identifier
136,148,0.84,review,Amend Máscara Regenerative Care Luxe Creations 250 G,Amend Máscara Regenerative Care Luxe Creations 250 G,amend,amend,amazon_br,amazon_br,,,250g,250g,brand_match:amend; title_high:1.00; identifier_match:ean; size_ambiguous; pack_match:4; category_exact; penalty:conflicting_model
242,276,0.84,review,Elixir R 30ml Ellementti,Elixir Mio Filler 30ml Ellementti,ellementti,ellementti,amazon_br,amazon_br,19300,18900,30ml,30ml,brand_match:ellementti; title_high:0.96; size_ambiguous; pack_match:16; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
336,342,0.84,review,protetor solar Biogel Biodermis (Filtro Solar facial Biogel fator 60 Biodermis),protetor Filtro solar Facial Biogel Biodermis (Filtro Solar facial Biogel fator 30 Biodermis),biodermis cosmeticos,biodermis cosmeticos,amazon_br,amazon_br,18600,15200,,,brand_match:biodermis cosmeticos; title_high:0.98; size_ambiguous; pack_match:16; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
374,1836,0.84,review,Corretivo Líquido Matte PAYOT Alta Cobertura - 2-4g,Corretivo Líquido Matte PAYOT Alta Cobertura - 2.5-4g,payot,payot,amazon_br,amazon_br,2052,2052,4g,4g,brand_match:payot; title_high:1.00; size_ambiguous; shade_match:retivo; pack_match:2; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
379,4630,0.84,review,Ruby Rose - Gel Incolor Cílios + Sobrancelhas Game HB509,"Gel Incolor Game On – Para Cílios e Sobrancelhas | Nutrição, Definição e Crescimento Natural",ruby rose,lyrics,amazon_br,amazon_br,993,1998,,,title_medium:0.82; identifier_match:ean; color_match:rose; penalty:conflicting_strong_brand; penalty:clearly_incompatible_size; penalty:clearly_incompatible_variant; penalty:clearly_incompatible_variant
400,2098,0.84,review,Payot Corretivo Payot Serum Retinol 10,Payot Corretivo Payot Serum Retinol 30,payot,payot,amazon_br,amazon_br,2898,4290,,,brand_match:payot; title_high:0.97; size_match:5g; shade_match:retivo; pack_match:5; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
400,2125,0.84,review,Payot Corretivo Payot Serum Retinol 10,Payot Corretivo Payot Serum Retinol 20,payot,payot,amazon_br,amazon_br,2898,4390,,,brand_match:payot; title_high:0.97; size_match:5g; shade_match:retivo; pack_match:5; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2098,2125,0.84,review,Payot Corretivo Payot Serum Retinol 30,Payot Corretivo Payot Serum Retinol 20,payot,payot,amazon_br,amazon_br,4290,4390,,,brand_match:payot; title_high:0.97; size_match:5g; shade_match:retivo; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
409,1826,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 10,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 20,rk by kiss,rk by kiss,amazon_br,amazon_br,2690,2641,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
409,1830,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 10,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 15,rk by kiss,rk by kiss,amazon_br,amazon_br,2690,3359,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
409,2040,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 10,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 25,rk by kiss,rk by kiss,amazon_br,amazon_br,2690,2660,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
409,2097,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 10,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 30,rk by kiss,rk by kiss,amazon_br,amazon_br,2690,3339,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
409,4057,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 10,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 36,rk by kiss,rk by kiss,amazon_br,amazon_br,2690,3590,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
1826,1830,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 20,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 15,rk by kiss,rk by kiss,amazon_br,amazon_br,2641,3359,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
1826,2040,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 20,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 25,rk by kiss,rk by kiss,amazon_br,amazon_br,2641,2660,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
1826,2097,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 20,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 30,rk by kiss,rk by kiss,amazon_br,amazon_br,2641,3339,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
1826,4057,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 20,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 36,rk by kiss,rk by kiss,amazon_br,amazon_br,2641,3590,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
1830,2040,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 15,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 25,rk by kiss,rk by kiss,amazon_br,amazon_br,3359,2660,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
1830,2097,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 15,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 30,rk by kiss,rk by kiss,amazon_br,amazon_br,3359,3339,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
1830,4057,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 15,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 36,rk by kiss,rk by kiss,amazon_br,amazon_br,3359,3590,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2040,2097,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 25,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 30,rk by kiss,rk by kiss,amazon_br,amazon_br,2660,3339,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2040,4057,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 25,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 36,rk by kiss,rk by kiss,amazon_br,amazon_br,2660,3590,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2097,4057,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 30,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 36,rk by kiss,rk by kiss,amazon_br,amazon_br,3339,3590,,,brand_match:rk by kiss; title_high:0.99; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
409,2284,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 10,Ruby Kisses Under Eye Corrector - Corretivo para a área olhos - Cor 34,rk by kiss,rk by kiss,amazon_br,amazon_br,2690,2900,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
1826,2284,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 20,Ruby Kisses Under Eye Corrector - Corretivo para a área olhos - Cor 34,rk by kiss,rk by kiss,amazon_br,amazon_br,2641,2900,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
1830,2284,0.84,review,Rk By Kiss Ruby Kisses Under Eye Corrector - Corretivo Para A Área Olhos - Cor 15,Ruby Kisses Under Eye Corrector - Corretivo para a área olhos - Cor 34,rk by kiss,rk by kiss,amazon_br,amazon_br,3359,2900,,,brand_match:rk by kiss; title_high:0.98; size_match:9g; shade_match:rector; pack_match:17; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
