source_id,dedupe_id,retailer,name_raw,brand_raw,price_cents,sku,dimension,canonical_name,canonical_brand,cluster_confidence,decision,explanation
1,prod_356a192b7913,amazon_br,La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante,l'oreal,2990,B0C3S51L34,,La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante,l'oreal,1.0,singleton,
2,prod_da4b9237bacc,amazon_br,Óleo Wella Professionals Ultimate Luxe Oil 30ml,wella professionals,5976,B0CYLYGM4V,30ml,Óleo Wella Professionals Ultimate Luxe Oil 30ml,wella professionals,1.0,singleton,
3,prod_77de68daecd8,amazon_br,Máscara Wella Invigo Nutri-Enrich 150ml,wella,7875,B07NVXTGYL,150ml,Máscara Wella Invigo Nutri-Enrich 150ml,wella,1.0,singleton,
4,prod_1b6453892473,amazon_br,Melano CC® Sérum Essence - Sérum de Vitamina C Pura para Ação Antioxidante Que Clareia A Pele E Controla A Oleosidade 20G,メラノcc,5490,B08GB65ZB7,20g,Melano CC® Sérum Essence - Sérum de Vitamina C Pura para Ação Antioxidante Que Clareia A Pele E Controla A Oleosidade 20G,メラノcc,1.0,singleton,
5,prod_ac3478d69a3c,amazon_br,"CeraVe, Loção Hidratante Corporal, com textura Fluida e Ácido Hialurônico",cerave,7379,B07RK4HST7,,"CeraVe, Loção Hidratante Corporal, com textura Fluida e Ácido Hialurônico",cerave,1.0,singleton,
6,prod_c1dfd96eea8c,amazon_br,Bauny - Corretivo Líquido Cor 070-080 5ml,bauny cosméticos,4494,B0CYJ82NG7,5ml,Bauny - Corretivo Líquido Cor 070-080 5ml,bauny cosméticos,1.0,singleton,
7,prod_902ba3cda188,amazon_br,"NIVEA Hidratante Labial Morango Shine 4,8g - Cuidado intensivo para seus lábios, hidratação prolongada, delicioso aroma de morango, pigmentos brilhantes e cor delicada",nivea,1099,B079VRBQ23,,"NIVEA Hidratante Labial Morango Shine 4,8g - Cuidado intensivo para seus lábios, hidratação prolongada, delicioso aroma de morango, pigmentos brilhantes e cor delicada",nivea,1.0,singleton,
8,prod_fe5dbbcea5ce,amazon_br,Wella Professionals Oil Reflections Óleo Capilar 100 ml,wella,11532,B07Y1T5YZ2,100ml,Wella Professionals Oil Reflections Óleo Capilar 100 ml,wella,1.0,singleton,
9,prod_0ade7c2cf97f,amazon_br,"Hidratante Corporal Ureadin, Isdin",isdin,5815,B07V52M71L,,"Hidratante Corporal Ureadin, Isdin",isdin,1.0,singleton,
10,prod_b1d5781111d8,amazon_br,La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante,la roche-posay,4990,B072MK7BN2,,La Roche-Posay Cicaplast Baume B5+ Cuidado Multirreparador Calmante,la roche-posay,1.0,singleton,
11,prod_17ba0791499d,amazon_br,"NIVEA Sabonete Líquido Frangipani & Oil 250ml - Fragrância da flor frangipani com pérolas de óleo, sensação de pele macia e hidratada",nivea,1206,B079VPDDBF,250ml,"NIVEA Sabonete Líquido Frangipani & Oil 250ml - Fragrância da flor frangipani com pérolas de óleo, sensação de pele macia e hidratada",nivea,1.0,singleton,
66927,prod_256b11186a03,mercadolivre,Canmake Poreless Airy Makeup Base (pure White) Cor 01 | 9g Todo Tipo De Pele Dia/noite,Canmake,17810,,,Canmake Poreless Airy Makeup Base (pure White) Cor 01 | 9g Todo Tipo De Pele Dia/noite,Canmake,1.0,singleton,
12,prod_7b52009b64fd,amazon_br,"L'Oréal Professionnel NutriOil, Shampoo de Nutrição Intensa com Óleo de Coco, Ideal para Cabelos Secos e Sem Brilho, Limpeza Suave, Mais Maciez e Brilho 300ml",l'oréal professionnel paris,7181,B0B7SDZGBN,300ml,"L'Oréal Professionnel NutriOil, Shampoo de Nutrição Intensa com Óleo de Coco, Ideal para Cabelos Secos e Sem Brilho, Limpeza Suave, Mais Maciez e Brilho 300ml",l'oréal professionnel paris,1.0,singleton,
13,prod_bd307a3ec329,amazon_br,"CeraVe, Gel de Limpeza Facial para pele oleosa, com Ácido Hialurônico e Niacinamida",l'oréal,6290,B07XP6N3BC,,"CeraVe, Gel de Limpeza Facial para pele oleosa, com Ácido Hialurônico e Niacinamida",l'oréal,1.0,singleton,
14,prod_fa35e192121e,amazon_br,"Rapunzel Milk Leave-in Spray 250ml , Lola Cosmetics",lola,1700,B074LSYFTJ,250ml,"Rapunzel Milk Leave-in Spray 250ml , Lola Cosmetics",lola,1.0,singleton,
15,prod_f1abd670358e,amazon_br,"NIVEA Protetor Labial Med Repair FPS15 4,8g - Hidrata e regenera os lábios ressecados e machucados, com Vitamina E e óleos naturais, proporciona reparação intensiva e alívio imediato",nivea,1190,B07F3CXQ5G,,"NIVEA Protetor Labial Med Repair FPS15 4,8g - Hidrata e regenera os lábios ressecados e machucados, com Vitamina E e óleos naturais, proporciona reparação intensiva e alívio imediato",nivea,1.0,singleton,
16,prod_1574bddb75c7,amazon_br,L’Oréal Paris L'Oréal Paris Revitalift Blur Mágico - Primer 27G,l'oreal paris,4590,B077C3M6VK,27g,L’Oréal Paris L'Oréal Paris Revitalift Blur Mágico - Primer 27G,l'oreal paris,1.0,singleton,
17,prod_0716d9708d32,amazon_br,BASE LIQUIDA -ULTRA COBERTURA-D3-CLARO,dailus,3339,B0BNP3R629,,BASE LIQUIDA -ULTRA COBERTURA-D3-CLARO,dailus,1.0,singleton,
18,prod_9e6a55b6b456,amazon_br,BASE LIQUIDA -ULTRA COBERTURA-D5-MEDIO,dailus,2999,B0BNP1SNDT,,BASE LIQUIDA -ULTRA COBERTURA-D5-MEDIO,dailus,1.0,singleton,
24,prod_4d134bc07221,amazon_br,Moge Sabonete Líquido Flor De Lavanda 240Ml,monange,574,B092G8YQLV,240ml,Moge Sabonete Líquido Flor De Lavanda 240Ml,monange,1.0,singleton,
19,prod_b3f0c7f6bb76,amazon_br,"Loréal Elsève Creme Tratamento Leave in Cicatri Renov, Branco",l'oreal paris,1605,B07DKFLT3S,,"Loréal Elsève Creme Tratamento Leave in Cicatri Renov, Branco",l'oreal paris,1.0,singleton,
20,prod_91032ad7bbcb,amazon_br,Creme Hidratante Corporal para Pele Seca e Sensível Cetaphil 453g - Hidratação 48h,cetaphil,6590,B079VXJK79,453g,Creme Hidratante Corporal para Pele Seca e Sensível Cetaphil 453g - Hidratação 48h,cetaphil,1.0,singleton,
21,prod_472b07b9fcf2,amazon_br,Lux Sabonete Liquido Rosas Francesas 200Ml Refil,lux(ラックス),699,B07LFKT898,200ml,Lux Sabonete Liquido Rosas Francesas 200Ml Refil,lux(ラックス),1.0,singleton,
22,prod_12c6fc06c99a,amazon_br,"Argan Óleo Reparador 50ml , Lola Cosmetics",lola,1510,B07SBXMSGB,50ml,"Argan Óleo Reparador 50ml , Lola Cosmetics",lola,1.0,singleton,
23,prod_d435a6cdd786,amazon_br,Super Balm Antiacne Simple Organic,simple organic,8990,B0F8JM65W2,,Super Balm Antiacne Simple Organic,simple organic,1.0,singleton,
2071,prod_739adce0f324,amazon_br,"KIKO MILANO, Unlimited Blush, Blush em Pó, Cor",kiko milano,9990,B07YQDCNYP,,"KIKO MILANO, Unlimited Blush, Blush em Pó, Cor",kiko milano,1.0,singleton,
